다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
6345678,2017081,1141011800,110811001,서울 서울서대문1,서울특별시 서대문구 홍은동(명지대입구 부근),9,10,0,5,3,2,126.9266329,37.58056239
6345672,2017081,1141012000,110811003,서울 서울서대문3,서울특별시 서대문구 남가좌동(가좌동광교회 부근),5,5,0,1,4,0,126.9233649,37.57726361
6345679,2017081,1144010400,111511001,서울 서울마포1,서울특별시 마포구 도화동(진도빌딩 부근),7,8,0,2,6,0,126.9477659,37.54044994
6345478,2017081,1144012100,111511002,서울 서울마포2,서울특별시 마포구 동교동(청원제일주유소 부근),5,5,0,0,4,1,126.9228425,37.55624545
6345528,2017081,1147010200,112911002,서울 서울양천2,서울특별시 양천구 목동(목동사거리 부근),7,7,1,1,5,0,126.8635259,37.53237153
6345460,2017081,1147010200,112911003,서울 서울양천3,서울특별시 양천구 목동(SC제일은행등촌지점 부근),6,6,0,3,3,0,126.8647581,37.54854832
6345513,2017081,1147010300,112911005,서울 서울양천5,서울특별시 양천구 신월동(반석교회 부근),4,4,0,2,2,0,126.8335411,37.52197678
6345317,2017081,1147010300,112911006,서울 서울양천6,서울특별시 양천구 신월동(삼오빌딩 부근),4,4,0,1,3,0,126.8334839,37.53658634
6345543,2017081,1150010300,112311001,서울 서울강서1,서울특별시 강서구 화곡동(형제빌딩 부근),9,9,0,6,2,1,126.8464162,37.53249515
6345293,2017081,1150010300,112311002,서울 서울강서2,서울특별시 강서구 화곡동(우장공원입구 부근),6,7,0,2,4,1,126.8508841,37.55318689
6345269,2017081,1111012300,110611002,서울 서울종로2,서울특별시 종로구 서린동(종로구청입구 부근),4,4,0,4,0,0,126.9799736,37.57045879
6345268,2017081,1111013800,110611001,서울 서울종로1,서울특별시 종로구 종로2가(종각지하쇼핑센터 부근),5,6,1,2,3,0,126.9851279,37.5701092
6345300,2017081,1153010200,112711004,서울 서울구로4,서울특별시 구로구 구로동(민영규치과의원 부근),4,4,1,2,1,0,126.8839399,37.49073912
6345410,2017081,1153010200,112711005,서울 서울구로5,서울특별시 구로구 구로동(대림역 부근),4,4,0,2,2,0,126.8954953,37.49216806
6345273,2017081,1114016200,110411002,서울 서울중부2,서울특별시 중구 신당동(약수고가차도(북측) 부근),4,5,1,3,0,1,127.0086574,37.55755154
6345271,2017081,1114016500,110411001,서울 서울중부1,서울특별시 중구 황학동(신당중앙시장 부근),7,7,2,3,2,0,127.0190858,37.56558869
