year,date,apply,enter
1994,'93. 8. 20.,742668,716326
1994,'93. 11. 16.,750181,726634
1995,'94. 11. 23.,781749,757488
1996,'95. 11. 22.,840661,809867
1997,'96. 11. 13.,824374,795338
1998,'97. 11. 19.,885321,854272
1999,'98. 11. 18.,868643,839837
2000,¡¯99. 11. 17.,896122,868366
2001,2000. 11. 15.,872297,850305
2002,2001. 11. 7.,739129,718441
2003,2002. 11. 6.,675922,655384
2004,2003. 11. 5.,674154,642583
2005,2004. 11. 17.,610257,574218
2006,2005. 11. 23.,593806,554345
2007,2006. 11. 16.,588899,551884
2008,2007. 11. 15.,584934,550588
2009,2008. 11. 13.,588839,559475
2010,2009. 11. 12.,677834,638216
2011,2010. 11. 18.,712227,668991
2012,2011. 11. 10.,693631,648946
2013,2012. 11. 8.,668522,621336
2014,2013. 11. 7.,650747,606813
2015,2014. 11. 13.,640621,594835
2016,2015. 11. 12.,631187,585332
2017,2016. 11. 17.,605987,552297
2018,2017.11.23,593527,531327
2019,2018.11.15,594924,530220
